home_fps,total_qty_kg,num_cards,avg_per_card
3874,17.94883053225875,5,3.58976610645175
3984,17.825444184382448,6,2.9709073640637413
5713,17.807949488733964,1,17.807949488733964
7543,17.695482618609937,1,17.695482618609937
22694,17.692053459537185,1,17.692053459537185
24355,17.64845576049972,1,17.64845576049972
5409,17.605973636297197,2,8.802986818148598
5212,17.57939693485342,2,8.78969846742671
12845,17.544863273114377,1,17.544863273114377
24374,17.5408307271025,1,17.5408307271025
20557,17.443619275940176,1,17.443619275940176
4899,17.438405650705498,3,5.8128018835685
5672,17.43179040586594,2,8.71589520293297
40229,17.42364828639253,2,8.711824143196266
39904,17.41011030104529,1,17.41011030104529
3779,17.407767016490794,4,4.351941754122699
26992,17.405369984658574,1,17.405369984658574
3935,17.33526453375931,2,8.667632266879655
240,17.281826699321623,1,17.281826699321623
41386,17.23257924173717,1,17.23257924173717
40374,17.232494181998035,1,17.232494181998035
635,17.232494181998035,1,17.232494181998035
25384,17.232494181998035,1,17.232494181998035
12191,17.205858110694706,1,17.205858110694706
14313,17.201431188884985,1,17.201431188884985
40671,17.162014549834815,2,8.581007274917408
2822,17.1232703512627,1,17.1232703512627
40502,17.115189793829696,1,17.115189793829696
20265,17.107444970963844,2,8.553722485481922
5633,17.00820425467456,3,5.6694014182248536
27935,16.996474558680486,1,16.996474558680486
25323,16.942991737815046,1,16.942991737815046
19590,16.82493379300071,1,16.82493379300071
17583,16.800432909044666,1,16.800432909044666
3843,16.64275288912878,2,8.32137644456439
14448,16.633960466517795,3,5.544653488839265
14456,16.524098252238456,1,16.524098252238456
25079,16.498515466028294,2,8.249257733014147
3951,16.463321204963037,1,16.463321204963037
40442,16.439604204269344,1,16.439604204269344
5502,16.42752354643757,1,16.42752354643757
5725,16.40604496871854,1,16.40604496871854
7667,16.32100076918903,1,16.32100076918903
5956,16.313061736818838,2,8.156530868409419
7776,16.299972606889778,2,8.149986303444889
15915,16.265524013966598,1,16.265524013966598
39263,16.218303524041563,1,16.218303524041563
5049,16.191800208437236,1,16.191800208437236
25076,16.19097357031938,2,8.09548678515969
4010,16.162556846799113,3,5.387518948933038
15041,16.13814436334557,2,8.069072181672786
41214,16.03741138116368,7,2.2910587687376682
407,16.000471042833958,3,5.33349034761132
21445,15.98047838817131,2,7.990239194085655
39772,15.977860747528345,3,5.325953582509448
17681,15.916391655697856,1,15.916391655697856
3792,15.91597347930873,2,7.957986739654365
15255,15.9032517667338,3,5.3010839222446
21391,15.884259229263916,1,15.884259229263916
3791,15.85132956494633,1,15.85132956494633
18827,15.83991821739031,2,7.919959108695155
17934,15.821911613263495,1,15.821911613263495
3751,15.786314170861163,2,7.893157085430581
18980,15.760983021636386,1,15.760983021636386
25067,15.739858930105331,2,7.869929465052666
20707,15.720774835833916,1,15.720774835833916
12691,15.67026552100032,1,15.67026552100032
27049,15.64736594629711,2,7.823682973148555
2442,15.602765492487295,1,15.602765492487295
813,15.474103952571337,1,15.474103952571337
20683,15.434080722644925,2,7.7170403613224625
41388,15.430624956403504,1,15.430624956403504
24860,15.4191022525052,1,15.4191022525052
12881,15.39713653094575,1,15.39713653094575
12090,15.392025654611663,2,7.6960128273058315
23107,15.385387997551,1,15.385387997551
5720,15.363623571093337,1,15.363623571093337
729,15.345879400390956,2,7.672939700195478
